step,reward_mean,reward_std,kl,loss,n_scored,eval_reward,elapsed_s
385,2.8384,6.9943,0.02910,-0.0189,64,,6792
386,3.5829,4.3509,0.04638,-0.0392,64,,6810
387,10.3812,7.8524,0.03543,-0.0309,64,,6827
388,4.4414,5.2803,0.04306,0.0103,64,,6844
389,6.0514,6.1484,0.04563,-0.0770,64,,6861
390,3.1424,8.7159,0.03957,-0.0371,64,,6877
391,2.3020,5.9789,0.04568,-0.0210,63,,6894
392,5.2220,3.8895,0.03499,-0.0166,64,,6911
393,1.7702,8.2149,0.03930,-0.0547,64,,6929
394,5.4537,8.4089,0.03728,-0.0584,64,,6946
395,8.2604,5.4251,0.03062,-0.0386,64,,6963
396,6.0522,6.1958,0.02388,-0.0173,64,,6980
397,6.9660,5.1080,0.03412,-0.0271,64,,6998
398,2.2645,4.3912,0.05520,-0.0238,64,,7015
399,2.1335,8.7574,0.02803,-0.0390,64,,7032
400,6.4619,4.9857,0.04339,-0.0175,64,-0.7636,7063
401,4.0753,6.0958,0.05223,-0.0178,64,,7081
402,5.4044,9.4792,0.04051,-0.0337,63,,7098
403,1.4966,5.1984,0.03819,-0.0152,64,,7117
404,3.0265,5.2886,0.04218,-0.0333,64,,7135
405,5.1566,8.4519,0.03880,-0.0471,64,,7153
406,0.8693,7.0373,0.05744,-0.0385,64,,7169
407,5.2369,8.8783,0.01912,-0.0068,64,,7187
408,5.7654,5.4478,0.05481,-0.0249,64,,7204
409,1.3732,5.3615,0.05618,-0.0382,64,,7220
410,6.1002,6.7349,0.03135,-0.0313,64,,7236
411,9.4149,7.8544,0.04960,-0.0416,64,,7252
412,6.4109,6.4057,0.03446,-0.0312,64,,7270
413,5.7369,6.9132,0.02623,-0.0143,64,,7287
414,9.7979,6.8921,0.03210,-0.0164,64,,7305
415,5.5140,3.9715,0.04471,-0.0438,64,,7321
416,6.8388,5.1241,0.02822,-0.0088,64,,7339
417,5.4900,5.6867,0.02445,-0.0201,64,,7356
418,4.8691,4.5023,0.03418,-0.0248,64,,7372
419,6.9221,7.6065,0.04506,-0.0325,64,,7388
420,5.6340,5.6470,0.04374,-0.0487,64,,7404
